15.8,0.11409
15.85,0.11406
15.9,0.11403
15.95,0.11401
16,0.11398
16.05,0.11395
16.1,0.11392
16.15,0.11389
16.2,0.11386
16.25,0.11383
16.3,0.1138
16.35,0.11377
16.4,0.11374
16.45,0.11371
16.5,0.11368
16.55,0.11365
16.6,0.11362
16.65,0.1136
16.7,0.11357
16.75,0.11354
16.8,0.11351
16.85,0.11348
16.9,0.11345
16.95,0.11342
17,0.11339
17.05,0.11336
17.1,0.11334
17.15,0.11331
17.2,0.11328
17.25,0.11325
17.3,0.11322
17.35,0.11319
17.4,0.11316
17.45,0.11313
17.5,0.11311
17.55,0.11308
17.6,0.11305
17.65,0.11302
17.7,0.11299
17.75,0.11296
17.8,0.11294
17.85,0.11291
17.9,0.11288
17.95,0.11285
18,0.11282
18.05,0.11279
18.1,0.11277
18.15,0.11274
18.2,0.11271
18.25,0.11268
18.3,0.11265
18.35,0.11262
18.4,0.1126
18.45,0.11257
18.5,0.11254
18.55,0.11251
18.6,0.11248
18.65,0.11246
18.7,0.11243
18.75,0.1124
18.8,0.11237
18.85,0.11234
18.9,0.11232
18.95,0.11229
19,0.11226
19.05,0.11223
19.1,0.1122
19.15,0.11218
19.2,0.11215
19.25,0.11212
19.3,0.11209
19.35,0.11206
19.4,0.11204
19.45,0.11201
19.5,0.11198
19.55,0.11195
19.6,0.11193
19.65,0.1119
19.7,0.11187
19.75,0.11184
19.8,0.11182
19.85,0.11179
19.9,0.11176
19.95,0.11173
20,0.11171
20.05,0.11168
20.1,0.11165
20.15,0.11162
20.2,0.1116
20.25,0.11157
20.3,0.11155
20.35,0.11216
20.4,0.12774
20.45,0.2816
20.5,0.9931
20.55,2.8233
20.6,6.2769
20.65,11.753
20.7,18.655
20.75,24.788
20.8,27.862
20.85,27.206
20.9,23.824
20.95,19.342
21,15.054
21.05,11.568
21.1,8.9504
21.15,7.0329
21.2,5.6204
21.25,4.5667
21.3,3.7737
21.35,3.1737
21.4,2.7172
21.45,2.3668
21.5,2.0943
21.55,1.8788
21.6,1.7054
21.65,1.5633
21.7,1.4448
21.75,1.3447
21.8,1.2588
21.85,1.1843
21.9,1.119
21.95,1.0612
22,1.0096
22.05,0.96317
22.1,0.92112
22.15,0.88281
22.2,0.84771
22.25,0.8154
22.3,0.78553
22.35,0.75782
22.4,0.73201
22.45,0.70791
22.5,0.68534
22.55,0.66415
22.6,0.64421
22.65,0.62541
22.7,0.60765
22.75,0.59085
22.8,0.57494
22.85,0.55983
22.9,0.54548
22.95,0.53183
23,0.51882
23.05,0.50643
23.1,0.4946
23.15,0.4833
23.2,0.47251
23.25,0.46218
23.3,0.45229
23.35,0.44282
23.4,0.43374
23.45,0.42503
23.5,0.41668
23.55,0.40866
23.6,0.40096
23.65,0.39355
23.7,0.38644
23.75,0.3796
23.8,0.37302
23.85,0.36668
23.9,0.36059
23.95,0.35472
24,0.34907
24.05,0.34362
24.1,0.33837
24.15,0.33332
24.2,0.32844
24.25,0.32374
24.3,0.31921
24.35,0.31484
24.4,0.31062
24.45,0.30655
24.5,0.30263
24.55,0.29884
24.6,0.29518
24.65,0.29165
24.7,0.28825
24.75,0.28496
24.8,0.28178
24.85,0.27871
24.9,0.27575
24.95,0.27288
25,0.27012
25.05,0.26745
25.1,0.26487
25.15,0.26237
25.2,0.25996
25.25,0.25763
25.3,0.25538
25.35,0.2532
25.4,0.2511
25.45,0.24907
25.5,0.2471
25.55,0.2452
25.6,0.24336
25.65,0.24158
25.7,0.23986
25.75,0.2382
25.8,0.23659
25.85,0.23504
25.9,0.23353
25.95,0.23208
26,0.23067
26.05,0.2293
26.1,0.22798
26.15,0.22671
26.2,0.22547
26.25,0.22428
26.3,0.22312
26.35,0.222
26.4,0.22091
26.45,0.21986
26.5,0.21884
26.55,0.21786
26.6,0.2169
26.65,0.21598
26.7,0.21508
26.75,0.21422
26.8,0.21338
26.85,0.21256
26.9,0.21177
26.95,0.21101
27,0.21027
